transport,tcpType,group,rate,delay,loss,deadline,frameSize,queue,total,onTime,late,incomplete,ratio,ul_avg,ul_p99,ul_max
udp,none,dsweep,120Mbps,10ms,0,80,90000,100p,273,273,0,0,1,10,10,10
quic,none,dsweep,120Mbps,10ms,0,80,90000,100p,275,274,0,1,0.996364,10,10,10
tcp,cubic,dsweep,120Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
tcp,bbr,dsweep,120Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
udp,none,dsweep,120Mbps,30ms,0,80,90000,100p,272,272,0,0,1,30,30,30
quic,none,dsweep,120Mbps,30ms,0,80,90000,100p,274,274,0,0,1,30,30,30
tcp,cubic,dsweep,120Mbps,30ms,0,80,90000,100p,570,1,1,265,0.00175439,30,30,30
tcp,bbr,dsweep,120Mbps,30ms,0,80,90000,100p,570,1,1,265,0.00175439,30,30,30
udp,none,dsweep,120Mbps,50ms,0,80,90000,100p,272,272,0,0,1,50,50,50
quic,none,dsweep,120Mbps,50ms,0,80,90000,100p,273,273,0,0,1,50,50,50
tcp,cubic,dsweep,120Mbps,50ms,0,80,90000,100p,559,0,1,255,0,50,50,50
tcp,bbr,dsweep,120Mbps,50ms,0,80,90000,100p,559,0,1,255,0,50,50,50
udp,none,dsweep,120Mbps,70ms,0,80,90000,100p,271,271,0,0,1,70,70,70
quic,none,dsweep,120Mbps,70ms,0,80,90000,100p,273,0,272,1,0,70,70,70
tcp,cubic,dsweep,120Mbps,70ms,0,80,90000,100p,334,0,1,152,0,70,70,70
tcp,bbr,dsweep,120Mbps,70ms,0,80,90000,100p,334,0,1,152,0,70,70,70
udp,none,dsweep,120Mbps,90ms,0,80,90000,100p,270,0,270,0,0,90,90,90
quic,none,dsweep,120Mbps,90ms,0,80,90000,100p,272,0,272,0,0,90,90,90
tcp,cubic,dsweep,120Mbps,90ms,0,80,90000,100p,187,0,90,45,0,90,90,90
tcp,bbr,dsweep,120Mbps,90ms,0,80,90000,100p,187,0,90,45,0,90,90,90
udp,none,dsweep,120Mbps,110ms,0,80,90000,100p,270,0,270,0,0,110,110,110
quic,none,dsweep,120Mbps,110ms,0,80,90000,100p,272,0,271,1,0,110,110,110
