transport,tcpType,group,rate,delay,loss,deadline,frameSize,total,onTime,late,incomplete,ratio
udp,none,dsweep,120Mbps,10ms,0,80,90000,273,273,0,0,1
quic,none,dsweep,120Mbps,10ms,0,80,90000,189,188,0,1,0.994709
tcp,cubic,dsweep,120Mbps,10ms,0,80,90000,576,0,1,272,0
tcp,bbr,dsweep,120Mbps,10ms,0,80,90000,576,0,1,272,0
udp,none,dsweep,120Mbps,30ms,0,80,90000,272,272,0,0,1
quic,none,dsweep,120Mbps,30ms,0,80,90000,188,188,0,0,1
tcp,cubic,dsweep,120Mbps,30ms,0,80,90000,568,0,1,264,0
tcp,bbr,dsweep,120Mbps,30ms,0,80,90000,568,0,1,264,0
udp,none,dsweep,120Mbps,50ms,0,80,90000,272,272,0,0,1
quic,none,dsweep,120Mbps,50ms,0,80,90000,188,187,0,1,0.994681
tcp,cubic,dsweep,120Mbps,50ms,0,80,90000,557,0,1,253,0
tcp,bbr,dsweep,120Mbps,50ms,0,80,90000,557,0,1,253,0
udp,none,dsweep,120Mbps,70ms,0,80,90000,271,271,0,0,1
quic,none,dsweep,120Mbps,70ms,0,80,90000,187,0,187,0,0
tcp,cubic,dsweep,120Mbps,70ms,0,80,90000,331,0,1,149,0
tcp,bbr,dsweep,120Mbps,70ms,0,80,90000,331,0,1,149,0
udp,none,dsweep,120Mbps,90ms,0,80,90000,270,0,270,0,0
quic,none,dsweep,120Mbps,90ms,0,80,90000,187,0,187,0,0
tcp,cubic,dsweep,120Mbps,90ms,0,80,90000,185,0,1,82,0
tcp,bbr,dsweep,120Mbps,90ms,0,80,90000,185,0,1,82,0
udp,none,dsweep,120Mbps,110ms,0,80,90000,270,0,270,0,0
quic,none,dsweep,120Mbps,110ms,0,80,90000,186,0,186,0,0
tcp,cubic,dsweep,120Mbps,110ms,0,80,90000,156,0,1,68,0
tcp,bbr,dsweep,120Mbps,110ms,0,80,90000,156,0,1,68,0
udp,none,lsweep,120Mbps,10ms,0,80,90000,273,273,0,0,1
quic,none,lsweep,120Mbps,10ms,0,80,90000,189,188,0,1,0.994709
tcp,cubic,lsweep,120Mbps,10ms,0,80,90000,576,0,1,272,0
tcp,bbr,lsweep,120Mbps,10ms,0,80,90000,576,0,1,272,0
udp,none,lsweep,120Mbps,10ms,0.000001,80,90000,273,250,0,23,0.915751
quic,none,lsweep,120Mbps,10ms,0.000001,80,90000,189,172,0,17,0.910053
tcp,cubic,lsweep,120Mbps,10ms,0.000001,80,90000,387,0,1,220,0
tcp,bbr,lsweep,120Mbps,10ms,0.000001,80,90000,387,0,1,220,0
udp,none,lsweep,120Mbps,10ms,0.00001,80,90000,273,104,0,169,0.380952
quic,none,lsweep,120Mbps,10ms,0.00001,80,90000,189,67,0,122,0.354497
tcp,cubic,lsweep,120Mbps,10ms,0.00001,80,90000,118,0,1,63,0
tcp,bbr,lsweep,120Mbps,10ms,0.00001,80,90000,118,0,1,63,0
udp,none,lsweep,120Mbps,10ms,0.0001,80,90000,273,0,0,273,0
quic,none,lsweep,120Mbps,10ms,0.0001,80,90000,189,0,0,189,0
tcp,cubic,lsweep,120Mbps,10ms,0.0001,80,90000,7,0,1,3,0
tcp,bbr,lsweep,120Mbps,10ms,0.0001,80,90000,7,0,1,3,0
udp,none,lsweep,120Mbps,10ms,0.001,80,90000,273,0,0,273,0
quic,none,lsweep,120Mbps,10ms,0.001,80,90000,189,0,0,189,0
tcp,cubic,lsweep,120Mbps,10ms,0.001,80,90000,1,0,0,1,0
tcp,bbr,lsweep,120Mbps,10ms,0.001,80,90000,1,0,0,1,0
udp,none,lsweep,120Mbps,10ms,0.01,80,90000,0,0,0,0,0
quic,none,lsweep,120Mbps,10ms,0.01,80,90000,0,0,0,0,0
tcp,cubic,lsweep,120Mbps,10ms,0.01,80,90000,0,0,0,0,0
tcp,bbr,lsweep,120Mbps,10ms,0.01,80,90000,0,0,0,0,0
udp,none,rsweep,30Mbps,10ms,0,80,90000,273,272,0,1,0.996337
quic,none,rsweep,30Mbps,10ms,0,80,90000,189,188,0,1,0.994709
tcp,cubic,rsweep,30Mbps,10ms,0,80,90000,576,0,1,272,0
tcp,bbr,rsweep,30Mbps,10ms,0,80,90000,576,0,1,272,0
udp,none,rsweep,40Mbps,10ms,0,80,90000,273,272,0,1,0.996337
quic,none,rsweep,40Mbps,10ms,0,80,90000,189,188,0,1,0.994709
tcp,cubic,rsweep,40Mbps,10ms,0,80,90000,576,0,1,272,0
tcp,bbr,rsweep,40Mbps,10ms,0,80,90000,576,0,1,272,0
udp,none,rsweep,50Mbps,10ms,0,80,90000,273,272,0,1,0.996337
quic,none,rsweep,50Mbps,10ms,0,80,90000,189,188,0,1,0.994709
tcp,cubic,rsweep,50Mbps,10ms,0,80,90000,576,0,1,272,0
tcp,bbr,rsweep,50Mbps,10ms,0,80,90000,576,0,1,272,0
udp,none,rsweep,60Mbps,10ms,0,80,90000,273,273,0,0,1
quic,none,rsweep,60Mbps,10ms,0,80,90000,189,188,0,1,0.994709
